37.9.53.91 - - [18/Feb/2014:16:29:27 -0800] "GET /sites/all/modules/fckeditor/fckeditor/editor/filemanager/connectors/uploadtest.html HTTP/1.0" 404 73 "http://LIFELINEPRC.COM/sites/all/modules/fckeditor/fckeditor/editor/filemanager/connectors/uploadtest.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows 98; Win 9x 4.90)" "lifelineprc.com"
161.130.15.53 - - [18/Feb/2014:23:46:23 -0800] "GET /img/theme7bg2.png HTTP/1.1" 200 51231 "http://www.lifelineprc.com/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; Media Center PC 6.0; InfoPath.3; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C)" "www.lifelineprc.com"
161.130.15.53 - - [18/Feb/2014:23:46:23 -0800] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; Media Center PC 6.0; InfoPath.3; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C)" "www.lifelineprc.com"
157.55.33.33 - - [19/Feb/2014:00:27:23 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.lifelineprc.com"
208.115.113.92 - - [19/Feb/2014:00:43:06 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; help@moz.com)" "lifelinepregnancyhelp.org"
208.115.113.92 - - [19/Feb/2014:02:14:53 -0800] "GET /services.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; help@moz.com)" "lifelinepregnancyhelp.org"
208.115.113.92 - - [19/Feb/2014:02:14:53 -0800] "GET /services.php?service=peer HTTP/1.1" 200 3929 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; help@moz.com)" "lifelinepregnancyhelp.org"
82.193.99.33 - - [19/Feb/2014:02:18:06 -0800] "GET / HTTP/1.1" 200 4249 "http://minecraft-neo.ru/" "Mozilla/0.91 Beta (Windows)" "lifelinepregnancyhelp.org"
82.193.99.33 - - [19/Feb/2014:02:18:07 -0800] "GET / HTTP/1.1" 200 4249 "http://minecraft-neo.ru/" "Mozilla/0.91 Beta (Windows)" "lifelinepregnancyhelp.org"
131.253.24.9 - - [19/Feb/2014:02:20:52 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "msnbot-media/1.1 (+http://search.msn.com/msnbot.htm)" "www.lifelineprc.com"
131.253.24.9 - - [19/Feb/2014:02:20:52 -0800] "GET /assets/images/teenMom.jpg HTTP/1.1" 404 89 "-" "msnbot-media/1.1 (+http://search.msn.com/msnbot.htm)" "www.lifelineprc.com"
157.55.33.33 - - [19/Feb/2014:03:49:40 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "lifelineprc.com"
5.10.83.105 - - [19/Feb/2014:04:53:00 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)" "www.lifelinepregnancyhelp.org"
5.10.83.105 - - [19/Feb/2014:04:53:03 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)" "lifelinepregnancyhelp.org"
157.55.33.33 - - [19/Feb/2014:05:27:38 -0800] "GET /postabortion.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.lifelineprc.com"
69.92.102.17 - - [19/Feb/2014:06:36:49 -0800] "GET / HTTP/1.1" 200 4249 "http://www.bing.com/search?q=lifeline+pregnancy+kirksville,+mo&form=DLRDF8&pc=MDDR&src=IE-SearchBox" "Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko" "lifelineprc.com"
69.92.102.17 - - [19/Feb/2014:06:36:49 -0800] "GET /js/form-manager.jquery.js HTTP/1.1" 200 1375 "http://lifelineprc.com/" "Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko" "lifelineprc.com"
69.92.102.17 - - [19/Feb/2014:06:36:49 -0800] "GET /js/jquery-1.10.1.min.js HTTP/1.1" 200 33357 "http://lifelineprc.com/" "Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko" "lifelineprc.com"
69.92.102.17 - - [19/Feb/2014:06:36:50 -0800] "GET /img/theme7bg2.png HTTP/1.1" 200 51231 "http://lifelineprc.com/" "Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko" "lifelineprc.com"
69.92.102.17 - - [19/Feb/2014:06:36:50 -0800] "GET /img/icons/programs.png HTTP/1.1" 200 87200 "http://lifelineprc.com/" "Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko" "lifelineprc.com"
69.92.102.17 - - [19/Feb/2014:06:36:50 -0800] "GET /img/icons/community.png HTTP/1.1" 200 100285 "http://lifelineprc.com/" "Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko" "lifelineprc.com"
69.92.102.17 - - [19/Feb/2014:06:36:50 -0800] "GET /img/icons/peer.png HTTP/1.1" 200 81327 "http://lifelineprc.com/" "Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko" "lifelineprc.com"
69.92.102.17 - - [19/Feb/2014:06:36:50 -0800] "GET /img/slider/image1.jpg HTTP/1.1" 200 994823 "http://lifelineprc.com/" "Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko" "lifelineprc.com"
69.92.102.17 - - [19/Feb/2014:06:36:50 -0800] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko" "lifelineprc.com"
23.23.43.122 - - [19/Feb/2014:06:44:00 -0800] "HEAD / HTTP/1.1" 200 589 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11" "www.lifelinepregnancyhelp.org"
50.16.36.247 - - [19/Feb/2014:06:55:40 -0800] "GET /css/bootstrap.css HTTP/1.1" 200 127365 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.75 Safari/537.1" "lifelinepregnancyhelp.org"
174.129.102.122 - - [19/Feb/2014:06:55:42 -0800] "GET /services.php HTTP/1.1" 200 3925 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.75 Safari/537.1" "lifelinepregnancyhelp.org"
107.22.67.105 - - [19/Feb/2014:06:59:21 -0800] "GET /css/general.css HTTP/1.1" 200 1895 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.75 Safari/537.1" "lifelinepregnancyhelp.org"
69.179.124.3 - - [19/Feb/2014:07:02:05 -0800] "GET /js/form-manager.jquery.js HTTP/1.1" 200 2038 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_4 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B554a Safari/9537.53" "lifelinepregnancyhelp.org"
69.179.124.3 - - [19/Feb/2014:07:02:06 -0800] "GET /js/jquery-1.10.1.min.js HTTP/1.1" 200 33357 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_4 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B554a Safari/9537.53" "lifelinepregnancyhelp.org"
69.179.124.3 - - [19/Feb/2014:07:02:06 -0800] "GET /img/slider/logo.jpg HTTP/1.1" 200 490803 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_4 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B554a Safari/9537.53" "lifelinepregnancyhelp.org"
69.179.124.3 - - [19/Feb/2014:07:02:08 -0800] "GET /img/icons/programs.png HTTP/1.1" 200 87200 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_4 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B554a Safari/9537.53" "lifelinepregnancyhelp.org"
208.115.113.88 - - [19/Feb/2014:07:09:00 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; help@moz.com)" "lifelineprc.com"
166.182.82.201 - - [19/Feb/2014:07:20:57 -0800] "GET /apple-touch-icon.png HTTP/1.1" 404 89 "-" "Dolphin http client/10.2.0(260) (Android)" "www.lifelineprc.com"
83.233.207.74 - - [19/Feb/2014:07:33:22 -0800] "GET / HTTP/1.1" 200 4249 "-" "Mozilla/4.0 (CMS Crawler: http://www.cmscrawler.com)" "www.lifelinepregnancyhelp.org"
157.55.32.188 - - [19/Feb/2014:07:55:00 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.lifelineprc.com"
184.155.87.63 - - [19/Feb/2014:08:01:30 -0800] "GET /css/bootstrap.css HTTP/1.1" 200 18835 "http://www.lifelineprc.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36" "www.lifelineprc.com"
184.155.87.63 - - [19/Feb/2014:08:01:30 -0800] "GET /js/responsiveslides.min.js HTTP/1.1" 200 1967 "http://www.lifelineprc.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36" "www.lifelineprc.com"
184.155.87.63 - - [19/Feb/2014:08:01:30 -0800] "GET /js/form-manager.jquery.js HTTP/1.1" 200 1375 "http://www.lifelineprc.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36" "www.lifelineprc.com"
184.155.87.63 - - [19/Feb/2014:08:01:31 -0800] "GET /img/slider/image1.jpg HTTP/1.1" 200 994823 "http://www.lifelineprc.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36" "www.lifelineprc.com"
184.155.87.63 - - [19/Feb/2014:08:01:32 -0800] "GET /img/icons/community.png HTTP/1.1" 200 100285 "http://www.lifelineprc.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36" "www.lifelineprc.com"
184.155.87.63 - - [19/Feb/2014:08:01:38 -0800] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36" "www.lifelineprc.com"
208.115.113.88 - - [19/Feb/2014:08:16:55 -0800] "GET /options.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; help@moz.com)" "lifelineprc.com"
180.76.5.61 - - [19/Feb/2014:09:32:13 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2" "lifelineprc.com"
66.249.73.232 - - [19/Feb/2014:10:28:44 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "www.lifelineprc.com"
178.255.215.67 - - [19/Feb/2014:10:45:59 -0800] "GET / HTTP/1.1" 200 4249 "-" "Mozilla/5.0 (compatible; Exabot/3.0; +http://www.exabot.com/go/robot)" "www.lifelineprc.com"
67.221.222.72 - - [19/Feb/2014:11:52:43 -0800] "GET / HTTP/1.1" 200 4249 "http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=0CCkQFjAA&url=http%3A%2F%2Fwww.lifelineprc.com%2F&ei=hwsFU6fVFMuMyAHEkYDoCQ&usg=AFQjCNHdArWFmMN13bj-eKNbct-R8tUDEg&sig2=MVEHvV19FmL2_c9DSPTaeg&bvm=bv.61535280,d.aWc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.71 (KHTML, like Gecko) Version/6.1 Safari/537.71" "www.lifelineprc.com"
150.243.194.203 - - [19/Feb/2014:11:52:43 -0800] "GET /js/form-manager.jquery.js HTTP/1.1" 200 1375 "http://www.lifelineprc.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.71 (KHTML, like Gecko) Version/6.1 Safari/537.71" "www.lifelineprc.com"
67.221.222.72 - - [19/Feb/2014:11:52:43 -0800] "GET /css/general.css HTTP/1.1" 200 1239 "http://www.lifelineprc.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.71 (KHTML, like Gecko) Version/6.1 Safari/537.71" "www.lifelineprc.com"
67.221.222.72 - - [19/Feb/2014:11:52:43 -0800] "GET /js/responsiveslides.min.js HTTP/1.1" 200 1967 "http://www.lifelineprc.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.71 (KHTML, like Gecko) Version/6.1 Safari/537.71" "www.lifelineprc.com"
67.221.222.72 - - [19/Feb/2014:11:52:43 -0800] "GET /js/jquery-1.10.1.min.js HTTP/1.1" 200 33357 "http://www.lifelineprc.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.71 (KHTML, like Gecko) Version/6.1 Safari/537.71" "www.lifelineprc.com"
67.221.222.72 - - [19/Feb/2014:11:52:43 -0800] "GET /css/bootstrap.css HTTP/1.1" 304 - "http://www.lifelineprc.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.71 (KHTML, like Gecko) Version/6.1 Safari/537.71" "www.lifelineprc.com"
67.221.222.72 - - [19/Feb/2014:11:52:44 -0800] "GET /img/slider/image1.jpg HTTP/1.1" 200 994823 "http://www.lifelineprc.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.71 (KHTML, like Gecko) Version/6.1 Safari/537.71" "www.lifelineprc.com"
67.221.222.72 - - [19/Feb/2014:11:52:46 -0800] "GET /img/icons/programs.png HTTP/1.1" 200 87200 "http://www.lifelineprc.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.71 (KHTML, like Gecko) Version/6.1 Safari/537.71" "www.lifelineprc.com"
150.243.194.203 - - [19/Feb/2014:11:52:47 -0800] "GET /img/icons/peer.png HTTP/1.1" 200 81327 "http://www.lifelineprc.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.71 (KHTML, like Gecko) Version/6.1 Safari/537.71" "www.lifelineprc.com"
67.221.222.72 - - [19/Feb/2014:11:52:47 -0800] "GET /favicon.ico HTTP/1.1" 404 89 "http://www.lifelineprc.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.71 (KHTML, like Gecko) Version/6.1 Safari/537.71" "www.lifelineprc.com"
41.189.39.181 - - [19/Feb/2014:12:47:47 -0800] "GET / HTTP/1.1" 200 4249 "-" "Mozilla/4.0 (compatible; MSIE 5.0; Windows NT; DigExt; DTS Agent" "www.lifelineprc.com"
208.115.111.72 - - [19/Feb/2014:13:06:56 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; help@moz.com)" "www.lifelineprc.com"
208.115.111.72 - - [19/Feb/2014:14:08:34 -0800] "GET /purefreedom.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; help@moz.com)" "www.lifelineprc.com"
72.29.198.149 - - [19/Feb/2014:14:53:41 -0800] "GET /css/bootstrap.css HTTP/1.1" 200 18835 "http://www.lifelineprc.com/" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)" "www.lifelineprc.com"
72.29.198.149 - - [19/Feb/2014:14:53:41 -0800] "GET /css/general.css HTTP/1.1" 200 1239 "http://www.lifelineprc.com/" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)" "www.lifelineprc.com"
72.29.198.149 - - [19/Feb/2014:14:53:42 -0800] "GET /img/theme7bg2.png HTTP/1.1" 200 51231 "http://www.lifelineprc.com/" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)" "www.lifelineprc.com"
72.29.198.149 - - [19/Feb/2014:14:53:43 -0800] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)" "www.lifelineprc.com"
72.29.198.149 - - [19/Feb/2014:14:55:09 -0800] "GET /img/staff/group.jpg HTTP/1.1" 200 172517 "http://www.lifelineprc.com/about.php" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)" "www.lifelineprc.com"
180.76.6.225 - - [19/Feb/2014:15:54:47 -0800] "GET / HTTP/1.1" 200 4249 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "lifelinepregnancyhelp.org"
