109.241.131.171 - - [04/Feb/2014:18:27:27 -0800] "GET /index.php HTTP/1.0" 200 4249 "http://lifelineprc.com/index.php" "Opera/9.80 (Windows NT 6.1; U; YB/3.5.1; ru) Presto/2.6.30 Version/10.63" "lifelineprc.com"
98.249.219.50 - - [04/Feb/2014:22:52:37 -0800] "GET /about.php HTTP/1.1" 200 4968 "http://lifelinepregnancyhelp.org/about.php" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:22:52:45 -0800] "GET /stories.php HTTP/1.1" 200 5941 "http://lifelinepregnancyhelp.org/about.php" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:22:52:48 -0800] "GET /index.php HTTP/1.1" 200 4249 "http://lifelinepregnancyhelp.org/services.php" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:22:52:52 -0800] "GET /contact.php HTTP/1.1" 200 7477 "http://lifelinepregnancyhelp.org/index.php" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:22:53:02 -0800] "GET /about.php HTTP/1.1" 200 4968 "http://lifelinepregnancyhelp.org/contact.php" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:22:53:10 -0800] "GET /services.php?service=peer HTTP/1.1" 200 3929 "http://lifelinepregnancyhelp.org/about.php" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:22:53:10 -0800] "GET /services/peer.php HTTP/1.1" 200 855 "http://lifelinepregnancyhelp.org/services.php?service=peer" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:22:53:11 -0800] "GET /img/services/peer_counseling.jpg HTTP/1.1" 200 47817 "http://lifelinepregnancyhelp.org/services.php?service=peer" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:22:53:42 -0800] "GET /about.php HTTP/1.1" 200 4968 "http://lifelinepregnancyhelp.org/services.php" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:22:55:52 -0800] "GET /browserconfig.xml HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
180.153.163.206 - - [04/Feb/2014:23:02:57 -0800] "GET /about.php HTTP/1.1" 200 4968 "-" "Mozilla/4.0" "lifelinepregnancyhelp.org"
180.153.163.206 - - [04/Feb/2014:23:03:37 -0800] "GET /js/form-manager.jquery.js HTTP/1.1" 200 2038 "http://lifelinepregnancyhelp.org/js/form-manager.jquery.js" "Mozilla/4.0" "lifelinepregnancyhelp.org"
180.153.163.206 - - [04/Feb/2014:23:03:37 -0800] "GET /js/responsiveslides.min.js HTTP/1.1" 200 3397 "http://lifelinepregnancyhelp.org/js/responsiveslides.min.js" "Mozilla/4.0" "lifelinepregnancyhelp.org"
180.153.163.206 - - [04/Feb/2014:23:03:37 -0800] "GET /js/jquery-1.10.1.min.js HTTP/1.1" 200 93064 "http://lifelinepregnancyhelp.org/js/jquery-1.10.1.min.js" "Mozilla/4.0" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:23:07:40 -0800] "GET /about.php HTTP/1.1" 200 4968 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:23:08:03 -0800] "GET /css/bootstrap.css HTTP/1.1" 200 18835 "http://lifelinepregnancyhelp.org/about.php" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:23:08:03 -0800] "GET /js/form-manager.jquery.js HTTP/1.1" 200 1375 "http://lifelinepregnancyhelp.org/about.php" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:23:08:03 -0800] "GET /css/general.css HTTP/1.1" 304 - "http://lifelinepregnancyhelp.org/about.php" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:23:08:03 -0800] "GET /js/jquery-1.10.1.min.js HTTP/1.1" 200 33357 "http://lifelinepregnancyhelp.org/about.php" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:23:08:03 -0800] "GET /js/responsiveslides.min.js HTTP/1.1" 200 1967 "http://lifelinepregnancyhelp.org/about.php" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:23:08:03 -0800] "GET /img/slider/image1.jpg HTTP/1.1" 200 994823 "http://lifelinepregnancyhelp.org/about.php" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:23:08:03 -0800] "GET /img/slider/image3.jpg HTTP/1.1" 200 577297 "http://lifelinepregnancyhelp.org/about.php" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:23:08:03 -0800] "GET /img/icons/community.png HTTP/1.1" 200 100285 "http://lifelinepregnancyhelp.org/about.php" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:23:08:03 -0800] "GET /img/icons/peer.png HTTP/1.0" 200 81327 "http://lifelinepregnancyhelp.org/about.php" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:23:08:03 -0800] "GET /img/theme7bg2.png HTTP/1.1" 200 51231 "http://lifelinepregnancyhelp.org/about.php" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
180.153.206.29 - - [04/Feb/2014:23:24:16 -0800] "GET /js/responsiveslides.min.js HTTP/1.1" 200 3397 "http://lifelinepregnancyhelp.org/js/responsiveslides.min.js" "Mozilla/4.0" "lifelinepregnancyhelp.org"
23.23.43.122 - - [04/Feb/2014:23:44:55 -0800] "HEAD / HTTP/1.1" 200 589 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11" "www.lifelinepregnancyhelp.org"
83.149.126.98 - - [04/Feb/2014:23:51:57 -0800] "GET /robots.txt HTTP/1.0" 404 73 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.4; http://www.majestic12.co.uk/bot.php?+)" "lifelineprc.com"
83.149.126.98 - - [04/Feb/2014:23:52:02 -0800] "GET / HTTP/1.0" 200 4249 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.4; http://www.majestic12.co.uk/bot.php?+)" "lifelineprc.com"
178.255.215.67 - - [05/Feb/2014:00:57:05 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Exabot/3.0; +http://www.exabot.com/go/robot)" "lifelinepregnancyhelp.org"
178.255.215.67 - - [05/Feb/2014:00:57:06 -0800] "GET /services/?S=A HTTP/1.1" 200 873 "-" "Mozilla/5.0 (compatible; Exabot/3.0; +http://www.exabot.com/go/robot)" "lifelinepregnancyhelp.org"
178.255.215.67 - - [05/Feb/2014:00:57:09 -0800] "GET /services/community.php HTTP/1.1" 200 1384 "-" "Mozilla/5.0 (compatible; Exabot/3.0; +http://www.exabot.com/go/robot)" "lifelinepregnancyhelp.org"
5.10.83.44 - - [05/Feb/2014:01:27:39 -0800] "GET /contact.php HTTP/1.1" 200 7477 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)" "www.lifelineprc.com"
85.17.253.48 - - [05/Feb/2014:01:58:13 -0800] "GET /phpMyAdmin/scripts/setup.php HTTP/1.1" 404 89 "http://lifelineprc.com/phpMyAdmin/scripts/setup.php" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727)" "lifelineprc.com"
85.17.253.48 - - [05/Feb/2014:01:58:14 -0800] "GET /pma/scripts/setup.php HTTP/1.1" 404 89 "http://lifelineprc.com/pma/scripts/setup.php" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727)" "lifelineprc.com"
37.115.112.240 - - [05/Feb/2014:03:50:07 -0800] "GET / HTTP/1.1" 200 4249 "http://www.onefilms.net/" "Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)" "lifelinepregnancyhelp.org"
37.115.112.240 - - [05/Feb/2014:03:50:08 -0800] "GET / HTTP/1.1" 200 4249 "http://www.onefilms.net/" "Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)" "lifelinepregnancyhelp.org"
37.115.112.240 - - [05/Feb/2014:03:50:09 -0800] "GET / HTTP/1.1" 200 4249 "http://www.onefilms.net/" "Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)" "lifelinepregnancyhelp.org"
157.55.32.55 - - [05/Feb/2014:04:22:52 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "lifelineprc.com"
70.185.110.219 - - [05/Feb/2014:05:48:14 -0800] "GET / HTTP/1.1" 200 4249 "https://www.google.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_4 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B554a Safari/9537.53" "www.lifelineprc.com"
70.185.110.219 - - [05/Feb/2014:05:48:14 -0800] "GET /css/bootstrap.css HTTP/1.1" 200 18835 "http://www.lifelineprc.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_4 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B554a Safari/9537.53" "www.lifelineprc.com"
70.185.110.219 - - [05/Feb/2014:05:48:14 -0800] "GET /js/form-manager.jquery.js HTTP/1.1" 200 1375 "http://www.lifelineprc.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_4 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B554a Safari/9537.53" "www.lifelineprc.com"
70.185.110.219 - - [05/Feb/2014:05:48:14 -0800] "GET /js/responsiveslides.min.js HTTP/1.1" 200 1967 "http://www.lifelineprc.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_4 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B554a Safari/9537.53" "www.lifelineprc.com"
70.185.110.219 - - [05/Feb/2014:05:48:17 -0800] "GET /img/icons/peer.png HTTP/1.1" 200 81327 "http://www.lifelineprc.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_4 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B554a Safari/9537.53" "www.lifelineprc.com"
70.185.110.219 - - [05/Feb/2014:05:48:18 -0800] "GET /img/icons/community.png HTTP/1.1" 200 100285 "http://www.lifelineprc.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_4 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B554a Safari/9537.53" "www.lifelineprc.com"
70.185.110.219 - - [05/Feb/2014:05:48:18 -0800] "GET /img/icons/services.png HTTP/1.1" 200 100556 "http://www.lifelineprc.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_4 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B554a Safari/9537.53" "www.lifelineprc.com"
188.40.249.74 - - [05/Feb/2014:06:22:16 -0800] "GET / HTTP/1.0" 200 4249 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)" "lifelineprc.com"
157.55.35.36 - - [05/Feb/2014:06:34:30 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "lifelinepregnancyhelp.org"
98.249.219.50 - - [05/Feb/2014:06:50:14 -0800] "GET / HTTP/1.1" 200 4249 "http://r.search.yahoo.com/r/_ylt=A0LEVz2fT_JSIRsAMMpXNyoA;_ylu=X3oDMTEzMzJmNnVtBHNlYwNzcgRwb3MDMQRjb2xvA2JmMQR2dGlkA01BUDAwNV8x/SIG=11l8843rd/EXP=1391640607/**http%3a//lifelinepregnancyhelp.org/" "Mozilla/5.0 (MSIE 9.0; QDesk 2.3.1185.202; qdesk 2.3.1186.202; Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [05/Feb/2014:06:50:14 -0800] "GET /css/general.css HTTP/1.1" 200 1239 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (MSIE 9.0; QDesk 2.3.1185.202; qdesk 2.3.1186.202; Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [05/Feb/2014:06:50:14 -0800] "GET /js/responsiveslides.min.js HTTP/1.1" 200 3397 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (MSIE 9.0; QDesk 2.3.1185.202; qdesk 2.3.1186.202; Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [05/Feb/2014:06:50:14 -0800] "GET /js/form-manager.jquery.js HTTP/1.1" 200 1375 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (MSIE 9.0; QDesk 2.3.1185.202; qdesk 2.3.1186.202; Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [05/Feb/2014:06:50:15 -0800] "GET /img/slider/image3.jpg HTTP/1.1" 200 577297 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (MSIE 9.0; QDesk 2.3.1185.202; qdesk 2.3.1186.202; Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [05/Feb/2014:06:50:15 -0800] "GET /img/icons/programs.png HTTP/1.1" 200 87200 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (MSIE 9.0; QDesk 2.3.1185.202; qdesk 2.3.1186.202; Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [05/Feb/2014:06:50:19 -0800] "GET /img/staff/group.jpg HTTP/1.1" 200 172517 "http://lifelinepregnancyhelp.org/about.php" "Mozilla/5.0 (MSIE 9.0; QDesk 2.3.1185.202; qdesk 2.3.1186.202; Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
157.55.32.185 - - [05/Feb/2014:06:50:45 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.lifelineprc.com"
98.249.219.50 - - [05/Feb/2014:06:52:57 -0800] "GET / HTTP/1.1" 200 4249 "http://r.search.yahoo.com/r/_ylt=A0LEVzH8T_JSzW4AuXpXNyoA;_ylu=X3oDMTEzNG4ycGVpBHNlYwNzcgRwb3MDOARjb2xvA2JmMQR2dGlkA01BUDAwNV8x/SIG=11bvampbe/EXP=1391640700/**http%3a//lifelineprc.com/" "Mozilla/5.0 (MSIE 9.0; QDesk 2.3.1185.202; qdesk 2.3.1186.202; Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelineprc.com"
98.249.219.50 - - [05/Feb/2014:06:52:57 -0800] "GET /css/bootstrap.css HTTP/1.1" 200 18835 "http://lifelineprc.com/" "Mozilla/5.0 (MSIE 9.0; QDesk 2.3.1185.202; qdesk 2.3.1186.202; Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelineprc.com"
98.249.219.50 - - [05/Feb/2014:06:52:57 -0800] "GET /js/form-manager.jquery.js HTTP/1.1" 200 1375 "http://lifelineprc.com/" "Mozilla/5.0 (MSIE 9.0; QDesk 2.3.1185.202; qdesk 2.3.1186.202; Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelineprc.com"
98.249.219.50 - - [05/Feb/2014:06:52:57 -0800] "GET /img/slider/image2.jpg HTTP/1.1" 200 691385 "http://lifelineprc.com/" "Mozilla/5.0 (MSIE 9.0; QDesk 2.3.1185.202; qdesk 2.3.1186.202; Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelineprc.com"
98.249.219.50 - - [05/Feb/2014:06:52:57 -0800] "GET /img/theme7bg2.png HTTP/1.1" 200 51231 "http://lifelineprc.com/" "Mozilla/5.0 (MSIE 9.0; QDesk 2.3.1185.202; qdesk 2.3.1186.202; Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelineprc.com"
98.249.219.50 - - [05/Feb/2014:06:52:57 -0800] "GET /img/icons/programs.png HTTP/1.1" 200 87200 "http://lifelineprc.com/" "Mozilla/5.0 (MSIE 9.0; QDesk 2.3.1185.202; qdesk 2.3.1186.202; Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelineprc.com"
98.249.219.50 - - [05/Feb/2014:06:52:58 -0800] "GET /img/slider/image1.jpg HTTP/1.1" 200 994823 "http://lifelineprc.com/" "Mozilla/5.0 (MSIE 9.0; QDesk 2.3.1185.202; qdesk 2.3.1186.202; Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelineprc.com"
98.249.219.50 - - [05/Feb/2014:06:52:58 -0800] "GET /img/icons/community.png HTTP/1.1" 200 100285 "http://lifelineprc.com/" "Mozilla/5.0 (MSIE 9.0; QDesk 2.3.1185.202; qdesk 2.3.1186.202; Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelineprc.com"
119.147.146.189 - - [05/Feb/2014:06:52:59 -0800] "GET / HTTP/1.1" 200 4249 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727; MAXTHON 2.0)" "lifelineprc.com"
98.249.219.50 - - [05/Feb/2014:06:52:59 -0800] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; Trident/7.0; rv:11.0) like Gecko" "lifelineprc.com"
134.249.49.231 - - [05/Feb/2014:07:06:51 -0800] "GET / HTTP/1.1" 200 4249 "http://www.moneyclone.ru/" "Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)" "lifelinepregnancyhelp.org"
101.226.33.222 - - [05/Feb/2014:07:23:00 -0800] "GET /js/form-manager.jquery.js HTTP/1.1" 200 2038 "http://lifelineprc.com/js/form-manager.jquery.js" "Mozilla/4.0" "lifelineprc.com"
101.226.33.222 - - [05/Feb/2014:07:23:00 -0800] "GET /js/responsiveslides.min.js HTTP/1.1" 200 3397 "http://lifelineprc.com/js/responsiveslides.min.js" "Mozilla/4.0" "lifelineprc.com"
86.161.11.52 - - [05/Feb/2014:07:28:44 -0800] "GET /css/general.css HTTP/1.1" 200 1239 "http://www.lifelineprc.com/" "Mozilla/5.0 (iPad; CPU OS 6_1 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B141 Safari/8536.25" "www.lifelineprc.com"
86.161.11.52 - - [05/Feb/2014:07:28:45 -0800] "GET /js/form-manager.jquery.js HTTP/1.1" 200 1375 "http://www.lifelineprc.com/" "Mozilla/5.0 (iPad; CPU OS 6_1 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B141 Safari/8536.25" "www.lifelineprc.com"
