123.125.71.44 - - [21/Oct/2013:17:06:07 -0700] "GET /forMen.html HTTP/1.1" 200 2330 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "lifelineprc.com"
69.29.64.205 - - [21/Oct/2013:18:52:00 -0700] "GET /assets/psd/LeftNavLayoutPieces/bgcolor.jpg HTTP/1.1" 200 4012 "http://www.lifelinepregnancyhelp.org/style.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:18:52:03 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:18:52:03 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:18:52:05 -0700] "GET /version2/ HTTP/1.1" 200 1732 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:18:52:05 -0700] "GET /version2/css/general.css HTTP/1.1" 200 1239 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:18:52:05 -0700] "GET /version2/js/form-manager.jquery.js HTTP/1.1" 200 1375 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:18:52:05 -0700] "GET /version2/css/bootstrap.css HTTP/1.1" 200 18834 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:18:52:05 -0700] "GET /version2/js/responsiveslides.min.js HTTP/1.1" 200 1967 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:18:52:05 -0700] "GET /version2/js/jquery-1.10.1.min.js HTTP/1.1" 200 33357 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:18:52:06 -0700] "GET /version2/img/slider/image6.jpg HTTP/1.1" 200 322835 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:18:52:06 -0700] "GET /version2/img/slider/logo.jpg HTTP/1.1" 200 490803 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:18:52:06 -0700] "GET /version2/img/slider/image3.jpg HTTP/1.1" 200 577297 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:18:52:06 -0700] "GET /version2/img/slider/image2.jpg HTTP/1.1" 200 691385 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:18:52:07 -0700] "GET /version2/img/slider/image1.jpg HTTP/1.1" 200 994823 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:18:52:07 -0700] "GET /version2/img/icons/programs.png HTTP/1.1" 200 87200 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:18:52:08 -0700] "GET /version2/img/icons/community.png HTTP/1.1" 200 100285 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:18:52:09 -0700] "GET /version2/img/icons/peer.png HTTP/1.1" 200 81327 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:18:52:09 -0700] "GET /version2/img/theme7bg.png HTTP/1.1" 200 50609 "http://www.lifelinepregnancyhelp.org/version2/css/general.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
24.84.88.127 - - [21/Oct/2013:18:56:31 -0700] "GET /register/ HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 5.1; rv:8.0) Gecko/20100101 Firefox/8.0" "lifelineprc.com"
24.84.88.127 - - [21/Oct/2013:18:56:31 -0700] "GET /login.php HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 5.1; rv:8.0) Gecko/20100101 Firefox/8.0" "lifelineprc.com"
24.84.88.127 - - [21/Oct/2013:18:56:31 -0700] "GET /signup.php HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 5.1; rv:8.0) Gecko/20100101 Firefox/8.0" "lifelineprc.com"
69.29.64.205 - - [21/Oct/2013:19:01:48 -0700] "GET / HTTP/1.1" 200 2477 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:19:01:49 -0700] "GET /assets/images/homePage.jpg HTTP/1.1" 200 23096 "http://www.lifelinepregnancyhelp.org/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:19:04:26 -0700] "GET /version2/ HTTP/1.1" 200 1732 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:19:05:29 -0700] "GET /version2/css/bootstrap.css HTTP/1.1" 200 18834 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:19:05:29 -0700] "GET /version2/js/form-manager.jquery.js HTTP/1.1" 200 1375 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:19:05:29 -0700] "GET /version2/js/jquery-1.10.1.min.js HTTP/1.1" 200 33357 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:19:05:29 -0700] "GET /version2/js/responsiveslides.min.js HTTP/1.1" 200 1967 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:19:05:29 -0700] "GET /version2/img/slider/image3.jpg HTTP/1.1" 200 577297 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:19:05:29 -0700] "GET /version2/img/icons/services.png HTTP/1.1" 200 100556 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:19:05:29 -0700] "GET /version2/img/icons/community.png HTTP/1.1" 200 100285 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:19:05:29 -0700] "GET /version2/img/icons/peer.png HTTP/1.1" 200 81327 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:19:07:00 -0700] "GET /version2/ HTTP/1.1" 200 1864 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:19:07:00 -0700] "GET /version2/css/bootstrap.css HTTP/1.1" 200 18834 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:19:07:00 -0700] "GET /version2/css/general.css HTTP/1.1" 200 1239 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:19:07:00 -0700] "GET /version2/js/form-manager.jquery.js HTTP/1.1" 200 1375 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:19:07:00 -0700] "GET /version2/js/jquery-1.10.1.min.js HTTP/1.1" 200 33357 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:19:07:00 -0700] "GET /version2/js/responsiveslides.min.js HTTP/1.1" 200 1967 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:19:07:00 -0700] "GET /version2/img/theme7bg2.png HTTP/1.1" 200 51231 "http://www.lifelinepregnancyhelp.org/version2/css/general.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:19:07:00 -0700] "GET /version2/img/slider/image1.jpg HTTP/1.1" 200 65536 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:19:07:00 -0700] "GET /version2/img/slider/image6.jpg HTTP/1.1" 200 131072 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:19:07:00 -0700] "GET /version2/img/slider/image3.jpg HTTP/1.1" 200 131072 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:19:07:00 -0700] "GET /version2/img/slider/image2.jpg HTTP/1.1" 304 - "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:19:07:00 -0700] "GET /version2/img/icons/services.png HTTP/1.1" 200 100556 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:19:07:00 -0700] "GET /version2/img/icons/programs.png HTTP/1.1" 200 87200 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:19:07:00 -0700] "GET /version2/img/icons/community.png HTTP/1.1" 200 100285 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:19:07:00 -0700] "GET /version2/img/icons/peer.png HTTP/1.1" 200 81327 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:19:07:02 -0700] "GET /version2/img/slider/logo.jpg HTTP/1.0" 304 - "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
5.10.83.93 - - [21/Oct/2013:19:12:11 -0700] "GET /purefreedom.html HTTP/1.0" 200 2247 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)" "www.lifelinepregnancyhelp.org"
66.87.76.58 - - [21/Oct/2013:19:12:44 -0700] "GET /version2/ HTTP/1.1" 200 1985 "-" "Mozilla/5.0 (Linux; U; Android 2.3.6; en-us; SPH-D600 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1" "lifelinepregnancyhelp.org"
66.87.76.58 - - [21/Oct/2013:19:12:44 -0700] "GET /version2/js/responsiveslides.min.js HTTP/1.1" 200 1967 "-" "Mozilla/5.0 (Linux; U; Android 2.3.6; en-us; SPH-D600 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1" "lifelinepregnancyhelp.org"
66.87.76.58 - - [21/Oct/2013:19:12:44 -0700] "GET /version2/js/jquery-1.10.1.min.js HTTP/1.1" 200 93064 "-" "Mozilla/5.0 (Linux; U; Android 2.3.6; en-us; SPH-D600 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1" "lifelinepregnancyhelp.org"
66.87.76.58 - - [21/Oct/2013:19:12:44 -0700] "GET /version2/css/bootstrap.css HTTP/1.1" 200 18834 "-" "Mozilla/5.0 (Linux; U; Android 2.3.6; en-us; SPH-D600 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1" "lifelinepregnancyhelp.org"
66.87.76.58 - - [21/Oct/2013:19:12:45 -0700] "GET /version2/css/general.css HTTP/1.1" 200 1239 "-" "Mozilla/5.0 (Linux; U; Android 2.3.6; en-us; SPH-D600 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1" "lifelinepregnancyhelp.org"
66.87.76.58 - - [21/Oct/2013:19:12:48 -0700] "GET /version2/img/slider/logo.jpg HTTP/1.1" 200 490803 "http://lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Linux; U; Android 2.3.6; en-us; SPH-D600 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1" "lifelinepregnancyhelp.org"
66.87.76.58 - - [21/Oct/2013:19:12:48 -0700] "GET /version2/img/icons/services.png HTTP/1.1" 200 100556 "http://lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Linux; U; Android 2.3.6; en-us; SPH-D600 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1" "lifelinepregnancyhelp.org"
66.87.76.58 - - [21/Oct/2013:19:12:48 -0700] "GET /version2/img/icons/community.png HTTP/1.1" 200 100285 "http://lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Linux; U; Android 2.3.6; en-us; SPH-D600 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1" "lifelinepregnancyhelp.org"
66.87.76.58 - - [21/Oct/2013:19:13:04 -0700] "GET /version2/img/slider/image3.jpg HTTP/1.1" 200 577297 "http://lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Linux; U; Android 2.3.6; en-us; SPH-D600 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1" "lifelinepregnancyhelp.org"
66.87.76.58 - - [21/Oct/2013:19:13:04 -0700] "GET /version2/img/slider/image1.jpg HTTP/1.1" 200 994823 "http://lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (Linux; U; Android 2.3.6; en-us; SPH-D600 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1" "lifelinepregnancyhelp.org"
151.138.13.244 - - [21/Oct/2013:19:27:45 -0700] "GET / HTTP/1.1" 200 4482 "-" "SuperPagesUrlVerifyBot/1.0" "www.lifelineprc.com"
75.187.67.225 - - [21/Oct/2013:19:47:42 -0700] "GET /assets/images/pregnancy.jpg HTTP/1.1" 200 73198 "http://www.google.com/search?q=pregnancy+symptoms+before+missed+period+but+negative+test&client=safari&hl=ar&source=lnms&tbm=isch&sa=X&ei=2-NlUsnYKpKj4APDmYGwDg&ved=0CAcQ_AUoAA&biw=768&bih=928#biv=i%7C56%3Bd%7ChblM0LT9SQ81mM%3A" "Mozilla/5.0 (iPad; CPU OS 5_0_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9A405 Safari/7534.48.3" "www.lifelineprc.com"
66.249.82.221 - - [21/Oct/2013:19:47:44 -0700] "GET /style.css HTTP/1.1" 200 1636 "http://www.lifelineprc.com/symptoms.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.4 (KHTML, like Gecko; Google Web Preview) Chrome/22.0.1229 Safari/537.4" "www.lifelineprc.com"
66.249.82.221 - - [21/Oct/2013:19:47:44 -0700] "GET /assets/images/pregnancy.jpg HTTP/1.1" 200 73198 "http://www.lifelineprc.com/symptoms.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.4 (KHTML, like Gecko; Google Web Preview) Chrome/22.0.1229 Safari/537.4" "www.lifelineprc.com"
66.249.82.221 - - [21/Oct/2013:19:47:44 -0700] "GET /assets/psd/LeftNavLayoutPieces/top.jpg HTTP/1.1" 200 43470 "http://www.lifelineprc.com/symptoms.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.4 (KHTML, like Gecko; Google Web Preview) Chrome/22.0.1229 Safari/537.4" "www.lifelineprc.com"
66.249.82.221 - - [21/Oct/2013:19:47:44 -0700] "GET /assets/psd/LeftNavLayoutPieces/bgcolor.jpg HTTP/1.1" 200 4012 "http://www.lifelineprc.com/symptoms.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.4 (KHTML, like Gecko; Google Web Preview) Chrome/22.0.1229 Safari/537.4" "www.lifelineprc.com"
178.137.163.82 - - [21/Oct/2013:19:59:09 -0700] "GET /aboutus.html HTTP/1.1" 200 11007 "http://doska-vsem.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; MRA 4.6 (build 01425))" "www.lifelineprc.com"
178.137.163.82 - - [21/Oct/2013:19:59:10 -0700] "GET /aboutus.html HTTP/1.1" 200 11007 "http://doska-vsem.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; MRA 4.6 (build 01425))" "www.lifelineprc.com"
178.137.163.82 - - [21/Oct/2013:19:59:11 -0700] "GET /aboutus.html HTTP/1.1" 200 11007 "http://doska-vsem.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; MRA 4.6 (build 01425))" "www.lifelineprc.com"
157.56.93.95 - - [21/Oct/2013:21:34:21 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.lifelineprc.com"
99.195.247.186 - - [21/Oct/2013:23:08:07 -0700] "GET / HTTP/1.1" 200 2587 "http://www.google.com/search?hl=en&redir_esc=&client=ms-android-uscellular-us&source=android-launcher-widget&v=133247963&qsubts=1382422079927&q=lifeline+prc+kirksville&v=133247963" "Mozilla/5.0 (Linux; U; Android 2.3.6; en-us; SCH-R760 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1" "www.lifelineprc.com"
99.195.247.186 - - [21/Oct/2013:23:08:07 -0700] "GET /style.css HTTP/1.1" 200 1636 "http://www.lifelineprc.com/" "Mozilla/5.0 (Linux; U; Android 2.3.6; en-us; SCH-R760 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1" "www.lifelineprc.com"
99.195.247.186 - - [21/Oct/2013:23:08:08 -0700] "GET /assets/images/homePage.jpg HTTP/1.0" 200 23096 "http://www.lifelineprc.com/" "Mozilla/5.0 (Linux; U; Android 2.3.6; en-us; SCH-R760 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1" "www.lifelineprc.com"
99.195.247.186 - - [21/Oct/2013:23:08:08 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "http://www.lifelineprc.com/" "Mozilla/5.0 (Linux; U; Android 2.3.6; en-us; SCH-R760 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1" "www.lifelineprc.com"
99.195.247.186 - - [21/Oct/2013:23:08:46 -0700] "GET /locations.html HTTP/1.1" 200 2131 "http://www.lifelineprc.com/" "Mozilla/5.0 (Linux; U; Android 2.3.6; en-us; SCH-R760 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1" "www.lifelineprc.com"
99.195.247.186 - - [21/Oct/2013:23:08:46 -0700] "GET /assets/images/building.jpg HTTP/1.1" 200 26305 "http://www.lifelineprc.com/locations.html" "Mozilla/5.0 (Linux; U; Android 2.3.6; en-us; SCH-R760 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1" "www.lifelineprc.com"
