157.56.92.162 - - [17/Sep/2013:17:39:24 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.lifelineprc.com"
220.181.89.166 - - [18/Sep/2013:12:22:50 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Sogou web spider/4.0\x01" "lifelineprc.com"
220.181.89.166 - - [18/Sep/2013:12:53:38 -0700] "GET / HTTP/1.1" 200 2475 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" "lifelineprc.com"
70.210.133.123 - - [18/Sep/2013:15:19:23 -0700] "GET /assets/images/pregnancy.jpg HTTP/1.1" 200 73198 "http://www.bing.com/images/search?q=early+m2f+hrt+results+before+and+after&qs=n&form=QBIR&pq=early+m2f+hrt+results+before+and+after&sc=0-10&sp=-1&sk=" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; WOW64; Trident/5.0)" "www.lifelineprc.com"
216.107.155.114 - - [18/Sep/2013:15:44:39 -0700] "GET /robots.txt HTTP/1.0" 404 73 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.4; http://www.majestic12.co.uk/bot.php?+)" "lifelineprc.com"
216.107.155.114 - - [18/Sep/2013:15:44:41 -0700] "GET /dadline.html HTTP/1.0" 200 2158 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.4; http://www.majestic12.co.uk/bot.php?+)" "lifelineprc.com"
216.107.155.114 - - [18/Sep/2013:15:44:42 -0700] "GET /postabortion.html HTTP/1.0" 200 2464 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.4; http://www.majestic12.co.uk/bot.php?+)" "lifelineprc.com"
216.107.155.114 - - [18/Sep/2013:15:44:44 -0700] "GET /purefreedom.html HTTP/1.0" 200 2249 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.4; http://www.majestic12.co.uk/bot.php?+)" "lifelineprc.com"
67.221.222.81 - - [18/Sep/2013:16:35:06 -0700] "GET / HTTP/1.1" 200 2598 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.66 Safari/537.36" "www.lifelinepregnancyhelp.org"
67.221.222.81 - - [18/Sep/2013:16:35:07 -0700] "GET /assets/images/homePage.jpg HTTP/1.1" 200 23096 "http://www.lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.66 Safari/537.36" "www.lifelinepregnancyhelp.org"
67.221.222.81 - - [18/Sep/2013:16:35:07 -0700] "GET /assets/bodyBG.jpg HTTP/1.1" 200 11603 "http://www.lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.66 Safari/537.36" "www.lifelinepregnancyhelp.org"
67.221.222.81 - - [18/Sep/2013:16:35:07 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.66 Safari/537.36" "www.lifelinepregnancyhelp.org"
