208.167.230.51 - - [06/Jun/2013:18:51:39 -0700] "GET / HTTP/1.1" 200 2476 "-" "Mozilla/5.0 (compatible; AhrefsBot/4.0; +http://ahrefs.com/robot/)" "www.lifelineprc.com"
199.127.50.73 - - [06/Jun/2013:19:34:22 -0700] "GET /version2/contact.php HTTP/1.1" 200 2533 "http://www.lifelinepregnancyhelp.org/version2/stories.php" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36" "www.lifelinepregnancyhelp.org"
199.127.50.73 - - [06/Jun/2013:19:34:22 -0700] "GET /version2/img/icons/appointment.png HTTP/1.1" 200 94289 "http://www.lifelinepregnancyhelp.org/version2/contact.php" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36" "www.lifelinepregnancyhelp.org"
199.127.50.73 - - [06/Jun/2013:19:34:22 -0700] "GET /version2/img/icons/phone.png HTTP/1.1" 200 83342 "http://www.lifelinepregnancyhelp.org/version2/contact.php" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36" "www.lifelinepregnancyhelp.org"
199.127.50.73 - - [06/Jun/2013:19:34:29 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36" "www.lifelinepregnancyhelp.org"
173.199.120.91 - - [06/Jun/2013:20:35:54 -0700] "GET /purefreedom.html HTTP/1.1" 200 2096 "-" "Mozilla/5.0 (compatible; AhrefsBot/4.0; +http://ahrefs.com/robot/)" "lifelinepregnancyhelp.org"
208.115.113.88 - - [06/Jun/2013:20:50:14 -0700] "GET /purefreedom.html HTTP/1.1" 200 3000 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; ezooms.bot@gmail.com)" "lifelineprc.com"
220.181.89.166 - - [06/Jun/2013:23:07:36 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Sogou web spider/4.0" "lifelineprc.com"
180.76.5.173 - - [06/Jun/2013:23:12:27 -0700] "GET /postabortionforum.html HTTP/1.1" 200 1828 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "lifelineprc.com"
65.55.24.247 - - [06/Jun/2013:23:54:29 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "lifelinepregnancyhelp.org"
173.199.120.91 - - [06/Jun/2013:23:55:16 -0700] "GET /m& HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; AhrefsBot/4.0; +http://ahrefs.com/robot/)" "www.lifelinepregnancyhelp.org"
173.199.120.91 - - [07/Jun/2013:00:22:17 -0700] "GET /services.html HTTP/1.1" 200 1875 "-" "Mozilla/5.0 (compatible; AhrefsBot/4.0; +http://ahrefs.com/robot/)" "lifelinepregnancyhelp.org"
89.122.29.82 - - [07/Jun/2013:00:31:28 -0700] "GET / HTTP/1.1" 200 4482 "-" "Java/1.6.0_04" "www.lifelineprc.com"
89.122.29.82 - - [07/Jun/2013:00:31:29 -0700] "GET /abortion.html HTTP/1.1" 200 5821 "-" "Java/1.6.0_04" "www.lifelineprc.com"
89.122.29.82 - - [07/Jun/2013:00:31:31 -0700] "GET /dadline.html HTTP/1.1" 200 2756 "-" "Java/1.6.0_04" "www.lifelineprc.com"
89.122.29.82 - - [07/Jun/2013:00:31:35 -0700] "GET /services.html HTTP/1.1" 200 2979 "-" "Java/1.6.0_04" "www.lifelineprc.com"
89.122.29.82 - - [07/Jun/2013:00:31:36 -0700] "GET /symptoms.html HTTP/1.1" 200 3401 "-" "Java/1.6.0_04" "www.lifelineprc.com"
89.122.29.82 - - [07/Jun/2013:00:31:40 -0700] "GET /success.html HTTP/1.1" 200 1728 "-" "Java/1.6.0_04" "www.lifelineprc.com"
89.122.29.82 - - [07/Jun/2013:00:31:41 -0700] "GET /m& HTTP/1.1" 404 89 "-" "Java/1.6.0_04" "www.lifelineprc.com"
89.122.29.82 - - [07/Jun/2013:00:31:41 -0700] "GET /m& HTTP/1.1" 404 89 "-" "Java/1.6.0_04" "www.lifelineprc.com"
89.122.29.82 - - [07/Jun/2013:00:31:43 -0700] "GET /m& HTTP/1.1" 404 89 "-" "Java/1.6.0_04" "www.lifelineprc.com"
89.122.29.82 - - [07/Jun/2013:00:31:44 -0700] "GET /m& HTTP/1.1" 404 89 "-" "Java/1.6.0_04" "www.lifelineprc.com"
89.122.29.82 - - [07/Jun/2013:00:31:44 -0700] "GET /m& HTTP/1.1" 404 89 "-" "Java/1.6.0_04" "www.lifelineprc.com"
89.122.29.82 - - [07/Jun/2013:00:31:45 -0700] "GET /m& HTTP/1.1" 404 89 "-" "Java/1.6.0_04" "www.lifelineprc.com"
89.122.29.82 - - [07/Jun/2013:00:31:46 -0700] "GET /m& HTTP/1.1" 404 89 "-" "Java/1.6.0_04" "www.lifelineprc.com"
89.122.29.82 - - [07/Jun/2013:00:31:46 -0700] "GET /m& HTTP/1.1" 404 89 "-" "Java/1.6.0_04" "www.lifelineprc.com"
89.122.29.82 - - [07/Jun/2013:00:31:47 -0700] "GET /m& HTTP/1.1" 404 89 "-" "Java/1.6.0_04" "www.lifelineprc.com"
89.122.29.82 - - [07/Jun/2013:00:31:47 -0700] "GET /m& HTTP/1.1" 404 89 "-" "Java/1.6.0_04" "www.lifelineprc.com"
89.122.29.82 - - [07/Jun/2013:00:31:48 -0700] "GET /m& HTTP/1.1" 404 89 "-" "Java/1.6.0_04" "www.lifelineprc.com"
89.122.29.82 - - [07/Jun/2013:00:31:48 -0700] "GET /m& HTTP/1.1" 404 89 "-" "Java/1.6.0_04" "www.lifelineprc.com"
89.122.29.82 - - [07/Jun/2013:00:31:50 -0700] "GET /m& HTTP/1.1" 404 89 "-" "Java/1.6.0_04" "www.lifelineprc.com"
89.122.29.82 - - [07/Jun/2013:00:31:50 -0700] "GET /m& HTTP/1.1" 404 89 "-" "Java/1.6.0_04" "www.lifelineprc.com"
89.122.29.82 - - [07/Jun/2013:00:31:51 -0700] "GET /m& HTTP/1.1" 404 89 "-" "Java/1.6.0_04" "www.lifelineprc.com"
89.122.29.82 - - [07/Jun/2013:00:31:51 -0700] "GET /m& HTTP/1.1" 404 89 "-" "Java/1.6.0_04" "www.lifelineprc.com"
89.122.29.82 - - [07/Jun/2013:00:31:53 -0700] "GET /m& HTTP/1.1" 404 89 "-" "Java/1.6.0_04" "www.lifelineprc.com"
89.122.29.82 - - [07/Jun/2013:00:31:53 -0700] "GET /m& HTTP/1.1" 404 89 "-" "Java/1.6.0_04" "www.lifelineprc.com"
89.122.29.82 - - [07/Jun/2013:00:31:55 -0700] "GET /Scripts/AC_ActiveX.js HTTP/1.1" 200 2149 "-" "Java/1.6.0_04" "www.lifelineprc.com"
173.199.120.91 - - [07/Jun/2013:01:11:28 -0700] "GET /m& HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; AhrefsBot/4.0; +http://ahrefs.com/robot/)" "lifelinepregnancyhelp.org"
65.55.24.247 - - [07/Jun/2013:02:10:27 -0700] "GET /services.html HTTP/1.1" 200 1875 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "lifelinepregnancyhelp.org"
157.56.93.202 - - [07/Jun/2013:02:18:53 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.lifelinepregnancyhelp.org"
208.115.113.82 - - [07/Jun/2013:02:59:35 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; ezooms.bot@gmail.com)" "www.lifelinepregnancyhelp.org"
157.56.93.41 - - [07/Jun/2013:03:04:15 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "lifelineprc.com"
208.115.113.82 - - [07/Jun/2013:03:20:44 -0700] "GET / HTTP/1.1" 200 4482 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; ezooms.bot@gmail.com)" "www.lifelinepregnancyhelp.org"
157.56.93.202 - - [07/Jun/2013:04:20:41 -0700] "GET / HTTP/1.1" 200 2476 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.lifelinepregnancyhelp.org"
69.136.46.244 - - [07/Jun/2013:08:05:03 -0700] "GET / HTTP/1.1" 200 4482 "http://www.google.com/url?sa=t&rct=j&q=&esrc=s&frm=1&source=web&cd=1&ved=0CDkQFjAA&url=http%3A%2F%2Fwww.lifelinepregnancyhelp.org%2F&ei=m_axUem3M-_L0gGkjoHoCA&usg=AFQjCNHQXHo2UqVEb_guqR1ed6Vui4wk_A&sig2=EQ-UUilh639ETTrLoYDJCA&bvm=bv.47534661,d.dmQ" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)" "www.lifelinepregnancyhelp.org"
67.174.161.220 - - [07/Jun/2013:08:08:32 -0700] "GET /assets/bodyBG.jpg HTTP/1.1" 200 11603 "http://www.lifelinepregnancyhelp.org/style.css" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0" "www.lifelinepregnancyhelp.org"
67.174.161.220 - - [07/Jun/2013:08:08:42 -0700] "GET /services.html HTTP/1.1" 200 1876 "http://www.lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0" "www.lifelinepregnancyhelp.org"
67.174.161.220 - - [07/Jun/2013:08:08:43 -0700] "GET /assets/images/redgirl.jpg HTTP/1.1" 200 110627 "http://www.lifelinepregnancyhelp.org/services.html" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0" "www.lifelinepregnancyhelp.org"
67.174.161.220 - - [07/Jun/2013:08:08:58 -0700] "GET /assets/images/medTestimony.jpg HTTP/1.1" 200 64550 "http://www.lifelinepregnancyhelp.org/options.html" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0" "www.lifelinepregnancyhelp.org"
67.174.161.220 - - [07/Jun/2013:08:08:58 -0700] "GET /assets/images/aboutLove.jpg HTTP/1.1" 200 52630 "http://www.lifelinepregnancyhelp.org/options.html" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0" "www.lifelinepregnancyhelp.org"
69.136.46.244 - - [07/Jun/2013:08:13:20 -0700] "GET /abortion.html HTTP/1.1" 200 5821 "http://www.lifelinepregnancyhelp.org/services.html" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)" "www.lifelinepregnancyhelp.org"
208.115.111.72 - - [07/Jun/2013:10:39:52 -0700] "GET /dadline.html HTTP/1.1" 200 2756 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; ezooms.bot@gmail.com)" "lifelineprc.com"
208.115.113.92 - - [07/Jun/2013:13:13:50 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; ezooms.bot@gmail.com)" "lifelinepregnancyhelp.org"
173.192.34.95 - - [07/Jun/2013:14:01:24 -0700] "GET /abortion.html HTTP/1.1" 200 5821 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; Media Center PC 5.0)" "www.lifelinepregnancyhelp.org"
173.192.34.95 - - [07/Jun/2013:14:01:25 -0700] "GET /services.html HTTP/1.1" 200 2979 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; Media Center PC 5.0)" "www.lifelinepregnancyhelp.org"
173.192.34.95 - - [07/Jun/2013:14:01:28 -0700] "GET /forMen.html HTTP/1.1" 200 3180 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; Media Center PC 5.0)" "www.lifelinepregnancyhelp.org"
173.192.34.95 - - [07/Jun/2013:14:01:28 -0700] "GET /ewyl.html HTTP/1.1" 200 3085 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; Media Center PC 5.0)" "www.lifelinepregnancyhelp.org"
173.192.34.95 - - [07/Jun/2013:14:01:28 -0700] "GET /postabortion.html HTTP/1.1" 200 3706 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; Media Center PC 5.0)" "www.lifelinepregnancyhelp.org"
173.192.34.95 - - [07/Jun/2013:14:01:30 -0700] "GET /dadline.html HTTP/1.1" 200 2756 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; Media Center PC 5.0)" "www.lifelinepregnancyhelp.org"
173.192.34.95 - - [07/Jun/2013:14:01:30 -0700] "GET /purefreedom.html HTTP/1.1" 200 3000 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; Media Center PC 5.0)" "www.lifelinepregnancyhelp.org"
173.192.34.95 - - [07/Jun/2013:14:01:30 -0700] "GET /m& HTTP/1.1" 404 89 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; Media Center PC 5.0)" "www.lifelinepregnancyhelp.org"
208.115.113.88 - - [07/Jun/2013:15:50:55 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; ezooms.bot@gmail.com)" "www.lifelineprc.com"
208.115.113.88 - - [07/Jun/2013:16:37:48 -0700] "GET /postabortion.html HTTP/1.1" 200 3706 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; ezooms.bot@gmail.com)" "www.lifelineprc.com"
